district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-20_dem,comp16-20_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_total,pop_white,pop_hispanic,pop_black,pop_asian,pop_native,pop_pacific,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
FL-19,FL,19,326514,119795,196153,319856,113399,201619,398782,153869,241756,414489,141639,268228,769032,464867,212894,66668,17185,11542,973,632357,414761,151762,45709,12989,8545,660,72416,86926,82649,83008,80574,94811,113843,110304,59332,53209,122460,9139,155612,56504,65199,16924,102861,31970,8506,20930,25763,8469,10148,10427,11713,11500,10810,10825,22351,29729,41021,40874,14039
FL-20,FL,20,303540,224886,71605,284367,212452,68579,345045,252431,89966,311918,208235,99841,768593,187136,178956,366271,31356,8302,1465,594198,160214,135647,267952,24053,6365,1169,95341,102371,96684,103733,100672,101397,88020,53341,32224,51738,92342,5043,160813,39450,72768,8032,101416,25101,13646,15099,18270,12815,12814,12965,12739,11755,12342,12715,22070,29023,36393,17472,15269
FL-21,FL,21,374440,151138,210157,364204,153815,204650,445458,189509,251841,462854,182139,275610,769985,504101,128496,107834,18109,13942,1343,630732,440566,89559,76520,13472,10536,965,70787,82742,76910,79807,83225,105823,121402,101508,57991,61803,115907,7160,161243,47303,54361,12630,128220,29871,9436,22400,22873,10280,11688,13195,11755,12519,12077,11917,23988,32266,41432,28847,14280
FL-22,FL,22,312830,177213,125948,299328,169754,125373,365499,204865,157405,354015,175514,173957,769312,334464,229079,175500,29283,14866,1478,609036,291356,166741,125998,22266,10778,1154,83992,91859,90386,100518,95233,103767,90181,65787,44680,53235,115693,7122,135423,47104,74404,17446,97030,28282,9851,19780,21260,9747,10556,11142,11646,9464,11193,10787,21027,27757,36882,35047,14835
FL-23,FL,23,378253,208831,159384,363926,202353,156920,437849,242768,191874,419057,208161,206080,769214,485077,125985,106752,29401,7950,1089,646981,431257,95990,78558,22553,6100,808,65309,73052,77827,82864,84954,102550,108770,101173,73290,50808,155537,10896,128517,66835,44188,24846,110652,32282,8906,23001,27505,10907,12378,12613,12869,12235,12130,11240,22891,29023,41022,45471,16790
FL-24,FL,24,289265,241173,41557,267685,220074,44415,322802,250889,69402,283758,194800,85691,768611,86521,291833,390520,18174,8239,1103,601677,71013,232462,296591,14505,6389,902,99456,94661,106792,112980,104703,98510,84597,50647,26781,50285,76141,3527,182921,29712,91229,9218,91140,20031,13697,11966,12328,11641,15102,13855,13929,13331,10945,13608,22267,27821,36937,11289,18367
FL-25,FL,25,349804,208079,130949,328013,194021,129226,402558,230562,168864,374847,188674,181360,769774,344377,284350,93170,42576,9376,1391,624210,294206,221622,70153,32397,7318,1047,77026,86645,86438,98407,106796,113149,94183,63573,33708,55726,149105,9288,113518,65466,40455,25564,96361,31865,9600,21745,31120,8901,9945,10398,9989,10063,10235,10211,20180,25485,36263,43873,15717
FL-26,FL,26,273897,152691,113541,249719,120851,125432,325226,140903,182336,308963,106795,199496,769013,58363,650157,52154,20141,4959,594,627685,39692,541586,41308,15515,3907,471,70539,86958,90843,99347,112992,119478,84812,54903,43660,55283,109178,4895,155752,37587,105893,15664,73298,24318,14622,16545,19484,10921,10734,11930,10961,9882,10163,10182,20163,24201,35175,18241,15265
FL-27,FL,27,303967,186374,107326,286116,164108,117738,355710,194906,157973,335608,157627,173619,770140,176446,505020,69807,22549,7868,808,636913,146873,418078,56426,18555,6336,660,77451,77449,100032,119659,106765,105783,81992,54517,37044,48104,143310,12919,115876,64339,74493,32041,72333,24642,17785,17772,24764,12353,12563,11184,11640,10717,9362,10303,19612,25635,32023,49213,18359
FL-28,FL,28,286122,158055,118029,266365,133871,128303,344805,158145,184031,338460,123628,211737,769482,117560,558207,86195,17237,9027,791,609478,94336,445636,62758,13539,6957,591,85707,98444,93159,99706,106222,113394,80183,55972,31000,57321,104201,5302,148215,34438,90021,11215,81864,25973,9551,18264,22276,8137,9898,9282,9597,8909,8823,8053,17106,24024,34135,20122,13157
