district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-22_total,comp16-20_dem,comp16-22_dem,comp16-20_rep,comp16-22_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_adj_total,pop_adj_white,pop_adj_hispanic,pop_adj_black,pop_adj_asian,pop_adj_native,pop_adj_pacific,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
CA-11,CA,11,242867,107329,121219,,244463,,111404,,128624,304808,141043,156853,285080,117375,160598,760543,302414,357061,28552,57215,38960,6676,570494,252312,239420,21264,41479,28656,4949,103512,117002,106150,100612,93408,88234,80413,50209,28007,42646,63996,3512,131698,20853,101918,6083,123685,24886,9040,18412,20003,8996,8704,9336,10647,8898,9924,9470,18628,24848,34458,21026,11477
CA-12,CA,12,188103,126131,51254,,186264,,125176,,57835,237773,161826,70970,208655,125946,76649,759607,148840,497263,42664,71678,36790,4206,550894,130141,335190,29631,50926,26581,2968,115223,124891,109862,109083,89316,84484,66742,39069,22482,35946,57373,3340,109674,19899,140113,6038,93815,21366,10700,14267,15766,8698,9458,9697,9170,8481,8262,9011,15351,20591,28393,21430,13509
CA-13,CA,13,305096,226267,61398,,304763,,228242,,70786,373722,285422,80592,335619,242974,81644,760373,288782,222259,82983,157735,23367,8312,599353,246410,157182,62528,123177,17665,6055,84335,87537,93563,109560,100389,99847,89792,56529,31760,42976,141542,13050,93948,61487,62488,18872,102222,29344,7515,23640,34942,5170,5190,5777,5746,6739,6378,7098,13958,18755,30889,63092,9989
CA-14,CA,14,303674,189491,95638,,307264,,194681,,106280,387511,255859,123384,355241,219611,122977,761045,308347,149563,66066,229027,19459,8964,578277,255350,104153,47168,162160,14505,6254,89728,109217,79144,98080,112117,110655,82642,51735,26514,43089,158946,13906,82047,78396,34547,14941,96132,24010,4031,20083,36074,2825,4059,4763,4243,4451,3895,3866,7563,13369,23011,93259,6765
CA-15,CA,15,323417,282902,21445,,316935,,283838,,26997,365440,325558,32262,315676,265949,34453,759735,248545,180222,136845,189151,22844,7965,620775,217843,132071,109197,155169,18963,5762,74980,82829,115909,130790,101909,90126,76798,50666,26136,30845,156623,21728,78703,84984,62893,23438,80852,24371,11105,20171,31518,7562,8467,7227,7871,7411,6412,7652,13875,19654,29783,69476,14947
CA-16,CA,16,252230,195176,43893,,246696,,189842,,52610,310366,237621,66781,267748,185769,71390,759711,152434,217121,48690,331451,19351,17192,589857,131453,156369,36721,254567,14772,13065,87119,89612,93982,122887,105665,100054,79198,43725,27223,32007,136581,19414,99873,82366,68391,12401,81905,21384,4338,19426,31827,4093,4281,4615,4240,4366,4470,4737,9238,14386,23689,77187,6823
CA-17,CA,17,275914,205792,53192,,270971,,202874,,62530,324419,247412,69739,289832,208510,68892,759711,251523,112829,21095,366243,12534,5249,606686,215978,82350,15949,284519,9677,3972,83338,85597,113857,132026,100433,91600,69388,40587,28959,28260,163760,40195,47557,150277,27042,19801,54817,21075,4471,18845,35365,3222,4165,4073,3870,3779,3875,3542,8449,12722,21541,122790,8350
CA-18,CA,18,245001,186242,45967,,242284,,177264,,60780,311365,219755,85832,266941,173584,83962,760135,129680,264447,28954,336563,20820,6353,601379,114076,192559,21484,270234,17196,4769,79793,95440,110473,115961,102790,97635,78660,44666,25336,39367,129724,10384,93500,63394,94117,9932,81773,21043,6013,18077,30800,4414,5435,5042,4548,4421,4644,4540,9295,14018,22934,68007,6874
CA-19,CA,19,320140,222098,76125,,320384,,226865,,86294,383589,277836,96466,349311,240053,96557,761018,340028,259444,25473,125258,26841,6838,593384,288713,181689,18052,93324,20668,4977,85759,106924,100451,94561,100864,101243,88503,52219,28122,43833,131698,14386,81672,67455,56099,14347,101510,23986,5099,19293,32929,4792,5706,5540,6037,5141,6030,5783,11272,16606,27900,74075,7151
CA-20,CA,20,239430,103061,123977,,247760,,110379,,133572,314643,146460,161756,292713,121475,164132,760281,264096,360475,35946,91925,32653,3627,557162,216871,241153,23226,65759,22370,2430,110024,117522,111514,109196,91730,83027,71823,43992,24232,47860,89551,5357,103147,31206,78961,11319,114329,26465,6986,19420,25538,6915,7701,9159,7701,9114,8034,8376,16292,22335,32833,26843,10974
CA-21,CA,21,304366,199378,84454,,299511,,201897,,91262,356498,246252,102103,326171,214705,101089,759585,321111,350296,21097,59315,30872,4310,600911,281904,246757,14900,47647,23546,2944,83925,106210,132568,93526,84772,86947,84135,55942,29158,41812,108093,10987,88181,44836,81739,13873,98855,27244,7322,20738,26966,7076,6109,7466,7058,8449,8362,8580,15283,21128,32730,41067,11872
CA-22,CA,22,185054,77941,97227,,185262,,80400,,101790,238786,105963,127691,223918,85264,133343,760860,207262,485642,21166,39124,36754,2795,558068,172274,328855,18237,27865,24048,2157,117343,132264,116411,112512,93326,82526,69451,39073,19760,39511,45793,1803,132054,17055,127301,4789,107096,20581,10408,13423,16320,9155,10092,10854,10225,9899,9287,11036,16757,23187,29919,14497,12282
CA-23,CA,23,324448,140260,164326,,325737,,146244,,173108,398384,190024,199571,373218,168678,194527,760810,391911,267039,22190,65964,29635,4171,595373,328772,186358,17183,49556,22038,2959,87335,104843,96957,95648,93183,96438,94336,56058,32009,55162,109798,6366,105078,43361,58710,12562,123232,28034,5859,23123,33232,4828,6111,7588,6137,7405,7422,7097,13736,20371,32256,47260,8572
CA-24,CA,24,196212,84464,99662,,188586,,85034,,99753,245374,114659,123958,222750,92839,123698,760757,241418,391747,74033,41598,39056,4959,554285,199791,260233,49841,30621,26716,3271,122283,122170,117662,109578,86664,81475,70918,39146,19774,39009,51784,2604,131926,19385,103581,3036,115259,22515,13333,14050,14791,10230,11192,13892,11938,10070,12029,9987,18754,24503,29624,13033,14713
CA-25,CA,25,298480,134206,148047,,293732,,134011,,154145,365712,173577,184116,344142,150406,185145,760120,346777,303750,33961,62209,30096,6310,588047,287225,216846,25156,45927,21132,4519,96627,104001,94924,102974,90715,96332,94027,57286,29623,47770,102273,5897,118186,40480,69305,9829,125820,26360,7056,20341,27984,8063,8111,7165,6274,6685,8163,7649,13820,19865,27870,38442,9798
CA-26,CA,26,254327,175947,64355,,244820,,167158,,72962,318010,214802,96409,283698,171144,104979,760537,154131,424321,66218,121378,27278,8592,596023,137523,311597,50643,96101,18600,6238,86152,103321,124436,120241,98149,88997,74236,42424,25322,44063,96925,5281,117913,34501,90595,10291,114442,25804,8554,21475,25310,7219,7239,7969,8391,7887,6646,6853,15065,21864,31528,28301,10968
CA-27,CA,27,251246,112476,126664,,255288,,118977,,132417,332885,163041,163831,327105,150529,168935,760037,301920,351430,47835,53456,29647,5358,583446,258390,243488,33917,38945,20200,3623,93178,103336,91529,98250,92620,92652,91203,68160,37271,46343,81351,5300,136782,35273,87467,9123,126851,26484,8342,19863,25838,9161,10248,9930,9672,9055,7965,8643,17151,22514,32538,31692,11538
CA-28,CA,28,319762,209329,89232,,317632,,215726,,94658,385954,268059,108383,348189,233423,103152,759216,365911,205530,65644,111211,21759,7693,623220,321601,151751,48306,90492,16565,5721,79647,78609,144718,141567,96125,84643,72953,44960,25665,44582,159472,17423,82682,67626,48063,18866,109476,34622,8512,27194,32841,8033,9247,9397,8556,8007,9764,8420,19574,26157,41354,45191,12831
CA-29,CA,29,294527,169283,106960,,302486,,179504,,116424,374226,231001,134287,345648,205896,128775,759365,341228,206593,29296,173256,19398,7820,592960,286016,145048,21067,131591,14184,5683,87670,95307,102060,107684,102143,95293,78636,45294,25428,37051,146154,20995,72137,71020,52298,18870,90516,26928,5583,21248,32066,5203,6346,6498,6661,5283,6325,6485,13278,18885,27569,63367,9774
CA-30,CA,30,278766,119420,143016,,286899,,130137,,151144,363832,176156,179715,352113,163536,179241,760604,373266,246196,42039,87738,26898,7986,580130,305437,169420,29336,64425,19098,5471,101895,109008,107986,103484,95632,91790,74276,45535,25033,45670,110133,7536,95176,46924,48354,11334,118525,26184,4079,20560,31174,4015,5624,6017,5594,6006,6114,5613,12676,19803,30775,46235,8753
CA-31,CA,31,206488,133324,61834,,201666,,132160,,65882,266928,175227,86243,238916,141267,91214,760629,172520,453539,84537,48723,33959,5151,567012,151998,311920,59536,37575,23558,3441,94812,118247,122752,104436,89940,88094,73048,42772,19410,36064,58829,5112,138147,25642,98937,6171,107953,24644,7544,16388,19108,7231,8083,8461,8340,8089,8454,8548,15778,22059,31646,18217,12031
CA-32,CA,32,265034,112611,138197,,263961,,116417,,143014,340968,156929,176852,320034,134806,176926,759986,295530,315048,73401,68447,30144,5308,569696,245211,212966,50638,51147,21896,3525,104291,113928,94785,103105,96387,89410,81583,48759,24374,45291,75046,6112,128830,38264,65490,8161,123953,27803,7228,20084,25678,6418,6868,8154,7825,7804,7386,8094,15470,21964,32360,27891,8623
CA-33,CA,33,349837,158592,171216,,361605,,170231,,184555,443472,223575,211146,418223,200548,204454,760632,449602,140955,16708,142054,15773,4337,603185,374172,100646,11833,105988,11799,2970,82266,93598,74911,91279,101629,117668,95372,63846,34380,43597,183250,13473,68586,79594,28111,25815,100483,27707,4761,23996,38232,4089,5415,5167,4838,4828,4700,5303,10581,16478,26597,89393,9470
CA-34,CA,34,297729,138780,141033,,299363,,145519,,147859,376575,190555,177829,347694,164341,173232,759189,330662,262981,66937,92806,25106,3966,587291,275866,185596,48427,69804,18442,2832,89772,108461,89023,97033,98021,102094,87137,47265,24438,49119,109331,7725,107438,44898,57075,11117,114949,25918,6871,22632,30459,5641,5562,6292,5401,6015,6200,5875,12340,18380,28868,45604,9371
CA-35,CA,35,181777,125906,45854,,174951,,119745,,51657,239758,159741,74333,209953,117861,86063,760619,92759,529476,90210,53299,32771,4931,550315,78329,366691,63923,39874,22405,3093,106264,124738,130389,112397,97244,85099,60413,29200,15275,32868,52740,1875,143062,16292,119513,3304,96906,23756,8028,16713,16687,6787,8065,8809,8416,8144,7549,7844,15429,23627,30177,13609,9633
CA-36,CA,36,313692,138389,158188,,319698,,144825,,169106,401060,193486,199824,370322,163958,194244,760539,291294,259147,31729,174276,21416,4967,602663,248218,189045,25177,133352,15684,3636,86778,101547,98299,98941,101667,112455,86751,51715,28888,47590,138021,9515,100316,56546,47245,14360,116375,26272,4043,24017,34775,3667,4070,4517,4411,4722,5245,5727,11244,15925,25817,60004,7521
CA-37,CA,37,206960,130111,64948,,208336,,131044,,73156,281934,175149,100476,252465,135934,108712,761023,135626,470037,55104,103233,30480,4813,573001,116092,334366,39551,80197,21690,3363,98534,116658,122752,111386,100941,91977,70846,36494,20599,38654,77781,4559,128184,27308,107388,5219,104619,24870,5849,17777,24599,5478,6507,6942,6648,6359,6852,7398,14760,20815,31030,23715,8493
CA-38,CA,38,304735,195550,92623,,301612,,195057,,101044,376105,243959,124822,338920,202299,126455,759949,356714,242341,37965,117728,19598,3327,603887,301073,176417,28213,92036,14907,2400,85181,98395,97732,100528,102302,108470,89105,54183,33279,42877,145751,12666,89739,58132,67361,22280,98614,25043,6875,20929,29643,6081,7366,5882,6809,6494,6736,7258,14192,18331,29210,61018,10957
CA-39,CA,39,215704,139270,63565,,219966,,142642,,72887,282838,183204,93491,251783,147084,95228,760417,182256,359190,22051,196557,24895,4658,591218,156876,260242,15512,154484,19947,3185,89213,108832,133852,118854,99344,91253,61960,35075,19773,30842,122976,10340,86039,53955,95246,13228,83936,27445,6560,19464,28664,4846,5462,5265,7161,5688,6205,5975,12648,18177,27769,42224,12610
CA-40,CA,40,334467,161355,153493,,341538,,164922,,169999,422228,208277,205374,387618,182810,193531,760071,350914,149513,19108,230386,16668,6398,619394,303369,109271,13987,182408,12818,4753,72304,89005,89715,88951,97348,112875,99024,63871,43569,45273,158986,10891,91531,63155,55929,21373,106417,28664,5709,23059,34664,5455,6823,6972,6246,5786,6531,6128,14084,17796,30572,67922,10698
CA-41,CA,41,217987,134559,70583,,218140,,132562,,81188,288851,173191,109478,252704,137249,107824,760144,136476,400562,27936,195435,26633,6185,591324,120618,287990,19309,158741,19705,4390,88703,104421,118962,109680,98774,94380,74708,38604,24376,36726,98591,4513,117351,31361,103022,6978,103044,25149,7042,19575,25145,5325,6484,6556,7092,6746,6677,7053,13771,19837,30773,26129,10450
CA-42,CA,42,243628,221001,13700,,234082,,210703,,20080,291824,255756,30438,240479,194202,39567,760320,28757,397896,304911,33299,26496,4276,574811,24828,282251,243486,25920,19625,3126,99236,107550,114512,111793,95581,92524,76674,38422,23324,36037,67364,2986,121502,25884,133689,4693,106617,23080,12984,15645,17492,9257,9870,10423,9328,9312,9453,8770,17094,21907,29373,17809,18079
CA-43,CA,43,227412,152367,63053,,228685,,150983,,73772,304593,199361,99726,257962,150068,99336,760432,75373,277411,17492,394612,17871,2826,613560,67196,208422,11920,327037,13767,2066,74786,88095,93407,98008,100135,107897,94554,57103,37598,40742,132426,7734,120455,43551,102759,12903,84675,25838,7525,18784,24799,6536,8186,7148,7985,6980,7150,8056,14481,20251,29695,33736,10339
CA-44,CA,44,273187,185722,71355,,270057,,184630,,80038,345007,234691,103084,305235,189997,105548,760701,169401,402427,44015,148674,27304,3343,604535,147752,301686,33596,120356,21293,2368,78003,94139,106031,104527,99267,103344,82310,48312,30460,39499,107022,9228,120345,46207,88487,12184,100751,24694,6978,20386,27011,5575,6639,6121,6918,6149,7179,5970,13031,19947,30439,38290,8920
CA-45,CA,45,218767,156873,49870,,211221,,150505,,56545,276200,191575,78327,234423,140825,86236,760292,129447,498623,61648,75220,30535,3169,575981,110603,361577,42372,59938,22110,2078,91395,109971,113801,101532,96783,96654,75855,38823,20929,34072,70528,2864,128003,20440,135078,4732,92998,22918,8652,16143,18891,6567,7303,7685,7325,7225,7468,7566,14513,18756,27352,20919,10776
CA-46,CA,46,255576,177876,61733,,251597,,176438,,69591,320701,224403,88624,280657,181766,89633,757347,162724,353388,99645,139325,26267,9579,594313,144568,256068,75422,112970,20402,7334,85014,96001,115157,117536,95859,94752,78699,41188,21607,39457,104726,5899,102092,37942,97718,7953,115900,27203,9160,21442,25893,6987,7653,8258,8277,7193,9096,7753,16603,22180,34539,28658,12200
