district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-20_dem,comp16-20_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_adj_asian,pop_adj_black,pop_adj_hispanic,pop_adj_native,pop_adj_pacific,pop_adj_total,pop_adj_white,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
MI-09,MI,9,390276,120932,249882,389170,138689,240188,464802,160625,297506,486616,161398,318624,15113,25456,29890,17123,576,774962,681480,606770,543625,19068,16550,10076,12316,367,84444,100901,86046,85039,99079,119554,107936,63235,28518,60577,96677,3371,165836,45553,38169,7501,127550,31075,9431,24360,32426,8259,9521,10731,10515,10410,11229,11743,20477,28260,41890,31294,10365
MI-10,MI,10,370004,166889,186837,361151,178881,173092,429829,209969,214177,436229,199324,227882,54707,116066,23457,13855,765,775218,563998,620272,469713,15848,81191,40047,10323,529,83521,90056,102502,101506,93305,106789,101119,58696,34882,56345,100704,4734,156061,47613,51374,8873,126288,34786,10156,23404,26892,10734,11821,12113,13059,13247,11653,12876,22910,31005,45344,24423,13136
MI-11,MI,11,399697,218132,162525,399072,231368,158160,462264,273913,182216,460402,262383,188356,76277,113756,41334,12795,688,775568,529713,624065,442233,27866,84964,56976,9546,508,79144,87548,108281,106959,96057,107272,98626,57774,33132,43929,155838,10240,101916,87064,33129,24199,102903,34334,9765,26663,34554,8327,9939,10803,11054,10362,10179,10166,20137,27154,41872,50233,13310
MI-12,MI,12,348166,250125,85669,332755,244906,80408,387387,285421,97504,372561,247356,106968,20578,363437,25253,12651,730,775247,356248,596111,282914,17013,272419,15570,9492,504,99231,103515,105664,98221,90502,97876,91024,54517,29293,47987,82657,4158,147627,42190,56173,8104,130623,25205,16876,16497,18024,13524,13378,13523,13394,13002,12596,13367,21409,29509,37975,15301,23541
MI-13,MI,13,310993,230545,70638,290572,216534,67011,340833,252919,83911,334915,232935,94494,28229,373556,79565,16785,1013,775666,285433,592734,234410,51978,277723,20592,12435,697,99483,102342,113398,103294,90822,96391,88919,47997,27921,38533,66600,4560,167052,31686,81759,7533,117529,20508,23986,14178,13508,15625,16322,14699,14169,15317,14465,12459,23649,26667,32790,14463,28548
MN-01,MN,1,357115,137508,186985,338821,152809,168518,389730,172290,208063,389557,167186,213794,25845,34801,51121,11506,1278,713311,587883,549351,470076,31285,20105,17666,7832,822,86107,96922,95287,88578,80991,87532,88101,54317,35128,62424,96205,7107,137372,35890,33352,10659,94945,32710,9895,22034,25188,9721,10346,10582,10361,10505,10719,10523,21918,27781,41446,22508,10133
MN-02,MN,2,368772,165768,169685,363995,183075,161560,422175,221065,190867,426655,220555,195780,48872,56813,54131,14352,1182,713312,536985,535271,422973,34031,32860,33070,9432,765,93721,100469,84383,98360,94229,97090,78177,44297,23031,59132,138594,6072,99021,46675,22108,10862,93875,33078,3878,27009,36343,4429,6225,5957,6757,6233,7477,8088,14938,22025,34177,42765,6656
MN-03,MN,3,387267,197818,155180,383063,213113,151188,435974,258519,167389,424914,251791,161935,72348,80728,37414,12278,968,713311,509159,549165,416013,23791,49858,48773,8405,638,87611,89805,72884,98525,92106,98842,88408,50990,28714,49402,161150,8904,84787,65991,22788,15389,90916,29172,5451,26160,35150,5225,6449,5825,7349,7306,7697,8019,16581,22627,35799,56927,7180
MN-04,MN,4,361958,221276,108507,352307,228461,104518,397840,268899,119665,378602,251495,117085,108161,95983,52740,16493,1326,713312,443863,549351,372953,34272,60639,70316,11373,893,90142,93537,100451,102590,82856,87114,79644,45963,26244,42064,135814,13312,93224,58731,36059,14809,83545,29461,8589,21808,30053,7044,8044,7999,9366,8990,9431,9331,19260,24771,35160,38305,10545
MN-05,MN,5,363290,266202,65575,359413,276424,63396,398002,319421,69139,369401,292800,65271,54149,142909,72377,22548,1249,713312,427555,571885,373926,48922,94621,40674,16034,906,83295,79299,130349,124812,83385,76545,69046,38271,22581,38850,151951,10578,81261,62789,39631,17011,85702,30348,11496,23242,27759,9614,8721,10271,9164,9406,10156,10102,21260,28553,40505,37548,15207
